IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,Offense Description,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource,Column19
03/18/2011,17:00:00,3/19/2011,5:30:00,Larceny – From Building,NULL,NONCAM,Z2,Alpha Epsilon Pi Fraternity,"Techwood Drive, NW",NULL,NULL,1,
03/19/2011,20:15:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,OFFCAM,NULL,NULL,NULL,NULL,1,
03/19/2011,21:46:00,3/19/2011,22:04:00,Miscellaneous Offenses,Cleared by Arrest,NONCAM,Z4,NULL,"Northside Drive, NW",NULL,NULL,1,
03/19/2011,22:30:00,3/20/2011,0:00:00,Larceny – From Building,NULL,ONCAM,Z3,Student Center,"Ferst Drive, NW",NULL,NULL,1,
03/20/2011,0:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,NULL,NULL,NULL,NULL,1,
03/20/2011,6:00:00,3/20/2011,6:30:00,Miscellaneous Offenses,NULL,ONCAM,Z2,NULL,Block of Techwood Drive NW,NULL,NULL,1,
03/20/2011,4:00:00,3/20/2011,9:10:00,Miscellaneous Offenses,NULL,ONCAMRES,NULL,Eighth Street Apartments,"Eighth Street, NW",NULL,NULL,1,
03/20/2011,14:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,NULL,Student Center,"Ferst Drive, NW",NULL,NULL,1,
03/20/2011,17:52:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,ONCAM,Z1,NULL,NULL,NULL,NULL,1,
03/20/2011,22:04:00,3/20/2011,23:10:00,Burglary – No Forced Entry –NonResidence,Cleared by Arrest,NONCAM,OFFCAM,Roosevelt House Demolition Site,"Centennial Olympic Park Drive, NW",NULL,NULL,1,
03/18/2011,15:00:00,3/21/2011,8:15:00,Criminal Trespass,NULL,ONCAMRES,Z1,Graduate Living Center,Tenth Street NW,NULL,NULL,1,
03/18/2011,16:30:00,3/21/2011,8:30:00,Criminal Trespass,NULL,ONCAMRES,Z4,Maulding Residence Hall (Sixth St. Apts.)  65  Z4,Sixth Street NW,NULL,NULL,1,
03/21/2011,17:10:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW and Techwood Drive, NW",NULL,NULL,NULL,1,
03/21/2011,20:45:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Eighth Street, NW and West Peachtree Street, NW",NULL,NULL,NULL,1,
03/21/2011,22:30:00,3/22/2011,7:30:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z3,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
03/22/2011,14:08:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Tech Parkway, NW",NULL,NULL,NULL,1,
03/22/2011,15:42:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Fifth Street, NW and Spring Street, NW",NULL,NULL,NULL,1,
03/22/2011,19:45:00,3/22/2011,20:00:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
03/20/2011,21:00:00,3/23/2011,0:00:00,Larceny – Articles from Vehicle,NULL,PUB,Z4,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
03/23/2011,1:30:00,NULL,NULL,Criminal Trespass,NULL,ONCAM,Z1,"Ferst Drive, NW @ Cherry Street, NW",NULL,NULL,NULL,1,
03/23/2011,3:45:00,3/23/2011,3:45:00,Marijuana – Possession of,Cleared by Arrest,PUB,Z4,"Northside Drive, NW & Marietta Street, NW",NULL,NULL,NULL,1,
03/23/2011,12:15:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Williams Street, NW @ North Avneue, NW",NULL,NULL,NULL,1,
03/23/2011,16:05:00,3/23/2011,16:30:00,Miscellaneous Offenses,NULL,NONCAM,Z4,NULL,"Northside Drive, NW @ Marietta Street, NW",NULL,NULL,1,
03/23/2011,15:50:00,3/23/2011,16:30:00,Damage to Property – Private,NULL,ONCAM,Z4,Campus Recreation Center Parking Deck,"Ferst Drive, NW",NULL,NULL,1,
03/18/2011,18:00:00,3/22/2011,12:00:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z4,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
03/23/2011,20:10:00,3/23/2011,20:10:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,NULL,NULL,NULL,NULL,1,
03/23/2011,20:58:00,3/23/2011,21:37:00,Larceny – Of Government Property,Cleared by Arrest,NONCAM,OFFCAM,NULL,NULL,NULL,NULL,1,
03/23/2011,16:00:00,NULL,NULL,Damage to Property – Private,NULL,ONCAM,Z1,Advanced Technology Center North,"Tenth Street, NW",NULL,NULL,1,
03/23/2011,2:00:00,3/23/2011,2:10:00,Larceny – Parts from Vehicle,NULL,NONCAM,Z2,Phi Kappa Sigma Fraternity,"Techwood Drive, NW",NULL,NULL,1,
03/24/2011,12:50:00,3/24/2011,19:58:00,Damage to Property – Private,NULL,ONCAM,Z1,Beringause Building,"Hemphill Avenue, NW",NULL,NULL,1,
03/22/2011,13:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z1,Beringause Building,"Hemphill Avenue, NW",NULL,NULL,1,
02/11/2011,12:00:00,3/25/2011,10:00:00,Miscellaneous Offenses,NULL,ONCAM,Z2,Library,"Cherry Street, NW",NULL,NULL,1,
03/25/2011,23:07:00,3/25/2011,23:21:00,Liquor – Possession Of,Prosecution Declined,PUB,Z1,"Fowler Street, NW @ Sixth Street, NW",NULL,NULL,NULL,1,
03/26/2011,1:19:00,3/26/2011,2:15:00,Obstructing Justice,Cleared by Arrest,ONCAM,Z2,Bobby Dodd Stadium,"North Avenue, NW",NULL,NULL,1,
03/26/2011,10:13:00,NULL,NULL,Miscellaneous Offenses,Prosecution Declined,NONCAM,Z4,"Northside Drive, NW and Tenth Street, NW",NULL,NULL,NULL,1,
03/26/2011,16:02:00,3/26/2011,16:25:00,Miscellaneous Offenses,NULL,PUB,Z2,"North Avenue, NW @ Williams Street, NW",NULL,NULL,NULL,1,
03/17/2011,16:00:00,3/26/2011,16:00:00,Criminal Trespass,NULL,PUB,Z4,"Sixth Street, NW and Ferst Drive, NW",NULL,NULL,NULL,1,
03/19/2011,11:00:00,3/26/2011,18:45:00,Larceny – Parts from Vehicle,NULL,ONCAMRES,Z2,Alpha Delta Pi Sorority,"Brittain Drive, NW",NULL,NULL,1,
03/19/2011,8:00:00,3/26/2011,19:00:00,Damage to Property – Private,NULL,PUB,Z1,Zeta Tau Alpha Sorority,"Fifth Street, NW",NULL,NULL,1,
03/26/2011,20:45:00,3/26/2011,21:45:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
03/26/2011,20:40:00,3/26/2011,21:45:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
03/26/2011,21:15:00,3/26/2011,21:45:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
03/26/2011,20:45:00,3/26/2011,21:45:00,Larceny – From Building,Unfounded,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
03/18/2011,19:00:00,3/27/2011,7:00:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Beringause Building,"Hemphill Avenue, NW",NULL,NULL,1,
03/27/2011,22:11:00,3/27/2011,23:09:00,Miscellaneous Offenses,Cleared by Arrest,NONCAM,Z4,"North Avenue, NW at Northyards Blvd, NW",NULL,NULL,NULL,1,
03/28/2011,2:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z4,Eighth Street Apartments   130   Z4,Eighth Street NW,NULL,NULL,1,
03/28/2011,10:30:00,3/28/2011,11:15:00,Damage to Property – Private,NULL,ONCAM,Z3,State Street Visitors Parking Lot,"Ferst Drive, NW @ State Street, NW",NULL,NULL,1,
03/28/2011,13:48:00,NULL,NULL,Obstructing Officer/Criminal Investigation,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Williams Street, NW",NULL,NULL,NULL,1,
03/28/2011,15:06:00,3/28/2011,15:06:00,Miscellaneous Offenses,NULL,ONCAM,Z2,NULL,"West Peachtree Street, NW",NULL,NULL,1,
03/28/2011,11:45:00,3/28/2011,16:30:00,Miscellaneous Offenses,NULL,ONCAM,Z4,College of Management,"West Peachtree Street, NW",NULL,NULL,1,
03/28/2011,16:30:00,3/28/2011,18:15:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Student Center,"Ferst Drive, NW",NULL,NULL,1,
03/19/2011,2:00:00,3/19/2011,11:00:00,Larceny – From Building,NULL,NONCAM,Z2,Alpha Epsilon Pi Fraternity,"Techwood Drive, NW",NULL,NULL,1,
03/29/2011,22:30:00,3/29/2011,23:00:00,Larceny – From Building,NULL,ONCAM,Z2,Library East Building,"Cherry Street, NW",NULL,NULL,1,
03/29/2011,9:35:00,3/29/2011,10:16:00,Miscellaneous Offenses,NULL,ONCAM,Z1,"Tenth Street, NW @ State Street, NW",NULL,NULL,NULL,1,
03/29/2011,13:15:00,NULL,NULL,Marijuana – Possession of,Cleared by Arrest,NONCLERY,Z4,NULL,"Eleventh Street, NW",NULL,NULL,1,
03/29/2011,3:00:00,3/29/2011,12:00:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z4,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
03/29/2011,23:30:00,3/29/2011,23:50:00,Larceny – From Building,NULL,ONCAM,Z3,Student Center,"Ferst Drive, NW",NULL,NULL,1,
03/29/2011,20:00:00,3/30/2011,0:01:00,Damage to Property – Private,NULL,ONCAM,Z1,North Campus Parking Deck,"Peachtree Place, NW",NULL,NULL,1,
03/30/2011,3:39:00,NULL,NULL,Burglary – No Forced Entry – Residence,Cleared by Arrest,NONCAM,Z3,Delta Tau Delta Fraternity,"Fourth Street, NW",NULL,NULL,1,
03/30/2011,7:44:00,3/30/2011,8:26:00,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Fitten Residence Hall,"McMillan Street, NW",NULL,NULL,1,
03/30/2011,0:40:00,3/30/2011,7:51:00,Burglary – No Forced Entry – Residence,NULL,ONCAMRES,Z2,Cloudman Residence Hall,"Techwood Drive, NW",NULL,NULL,1,
03/30/2011,9:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z4,Student Health Center,"Ferst Drive, NW",NULL,NULL,1,
03/30/2011,1:00:00,3/30/2011,9:30:00,Burglary – No Forced Entry – Residence,NULL,ONCAMRES,Z2,Glenn Residence Hall   16   Z2,Bobby Dodd Way NW,NULL,NULL,1,
03/30/2011,14:15:00,NULL,NULL,Fraud – Illegal Use of Credit/Financial Transaction Cards,Victim/Witness Refused to Cooperate,NONCAM,Z1,Beringause Building,"Hemphill Avenue, NW",NULL,NULL,1,
03/30/2011,14:30:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,"Northside Drive, NW and Tenth Street, NW",NULL,NULL,NULL,1,
03/29/2011,11:00:00,3/30/2011,7:00:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Caldwell Residence Hall,"Turner Place, NW",NULL,NULL,1,
03/20/2011,13:45:00,3/20/2011,14:00:00,Miscellaneous Offenses,Prosecution Declined,ONCAM,Z3,Ferst Center for the Arts,Ferst Drive NW,NULL,NULL,1,
03/30/2011,20:11:00,3/30/2011,21:22:00,Miscellaneous Offenses,Cleared by Arrest,ONCAM,Z2,College of Management,"West Peachtree Street, NW",NULL,NULL,1,
03/30/2011,21:30:00,3/30/2011,21:30:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Techwood Drive, NW & Fifth Street, NW",NULL,NULL,NULL,1,
03/30/2011,20:44:00,3/30/2011,20:46:00,Miscellaneous Offenses,NULL,ONCAMRES,Z1,Familly Apartments,"Tenth Street, NW",NULL,NULL,1,
03/30/2011,22:30:00,3/30/2011,22:30:00,Terroristic Threats/Intimidation,Prosecution Declined,ONCAM,Z1,Ford Motor Company Env. Science & Technology Building,"Ferst Drive , NW",NULL,NULL,1,
03/30/2011,23:50:00,3/31/2011,0:00:00,Miscellaneous Offenses,Unfounded,ONCAMRES,Z2,Towers Residence Hall,"Bobby Dodd Way, NW",NULL,NULL,1,
03/31/2011,0:17:00,3/31/2011,0:17:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Molecular Science Building,"Atlantic Drive, NW",NULL,NULL,1,
03/31/2011,1:58:00,3/31/2011,2:17:00,Liquor – Possession Of,Prosecution Declined,PUB,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
03/22/2011,10:00:00,3/23/2011,10:15:00,Criminal Trespass,NULL,ONCAMRES,Z4,Woodruff Residence Hall,"Curran Street, NW",NULL,NULL,1,
03/31/2011,12:04:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Cherry Street, NW and North Avenue, NW",NULL,NULL,NULL,1,
03/18/2011,9:30:00,NULL,NULL,Criminal Trespass,NULL,ONCAM,Z2,Weber Building  (SST 1),"Ferst Drive, NW",NULL,NULL,1,
03/31/2011,20:35:00,3/31/2011,21:00:00,Criminal Trespass,NULL,ONCAM,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
03/31/2011,18:35:00,3/31/2011,19:05:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
03/31/2011,23:30:00,4/1/2011,1:40:00,Aggravated Assault/Battery – Other Weapon,Cleared by Arrest,ONCAMRES,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
04/01/2011,7:00:00,4/1/2011,NULL,Miscellaneous Offenses,NULL,ONCAM,Z3,Georgia Tech Police Department,"Hemphill Avenue, NW",NULL,NULL,1,
04/01/2011,4:48:00,4/1/2011,5:41:00,Miscellaneous Offenses,NULL,ONCAM,Z3,Beringause Building,"Hemphill Avenue, NW",NULL,NULL,1,
04/01/2011,8:00:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Glenn Residence Hall,"Bobby Dodd Way, NW",NULL,NULL,1,
04/01/2011,7:40:00,4/1/2011,8:00:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Beringause Building,"Hemphill Avenue, NW",NULL,NULL,1,
04/01/2011,10:00:00,NULL,NULL,Damage to Property – Public,NULL,ONCAM,NULL,"Bobby Dodd Way, NW @ Brittain Drive, NW",NULL,NULL,NULL,1,
04/01/2011,1:00:00,4/1/2011,11:00:00,Theft of Other Vehicle,NULL,NONCAM,Z2,Phi Kappa Tau Fraternity   317   Z2,"Fourth Street, NW",NULL,NULL,1,
04/01/2011,13:00:00,4/1/2011,13:00:00,Miscellaneous Offenses,Cleared by Arrest,NONCAM,Z2,"Third Street, NW @ Spring Street, NW",NULL,NULL,NULL,1,
04/01/2011,13:15:00,NULL,NULL,Criminal Trespass,Cleared by Arrest,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
04/01/2011,14:13:00,4/1/2011,14:39:00,Miscellaneous Offenses,NULL,ONCAM,Z3,Student Center,"Ferst Drive, NW",NULL,NULL,1,
04/01/2011,15:40:00,4/1/2011,18:13:00,Miscellaneous Offenses,Cleared by Arrest,NONCAM,Z2,"North Avenue, NW @ Cherry Street, NW",NULL,NULL,NULL,1,
04/01/2011,16:02:00,NULL,NULL,Invasion of Privacy Offense Free Text,Cleared by Arrest,ONCAM,Z3,Student Center,"Ferst Drive, NW",NULL,NULL,1,
03/31/2011,15:00:00,3/31/2011,15:30:00,Simple Assault/Battery,Prosecution Declined,ONCAM,Z3,School of Industrial & Systems Engineering,"Ferst Drive, NW",NULL,NULL,1,
03/31/2011,9:30:00,3/31/2011,10:15:00,Larceny – From Building,NULL,ONCAM,Z3,Howey Physics Building,"Atlantic Drive, NW",NULL,NULL,1,
04/01/2011,16:00:00,4/1/2011,18:00:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z4,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
04/02/2011,16:53:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,Administration,"North Avenue, NW",NULL,NULL,1,
04/01/2011,20:29:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Cherry Street, NW",NULL,NULL,NULL,1,
04/01/2011,21:10:00,4/1/2011,21:10:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,NULL,NULL,NULL,NULL,1,
04/02/2011,1:15:00,NULL,NULL,Robbery – Street – Strongarm,NULL,PUB,Z1,"Fifth Street, NW @ Techwood Drive, NW",NULL,NULL,NULL,1,
04/02/2011,14:35:00,4/2/2011,14:45:00,Larceny Offense Free Text,NULL,ONCAM,Z2,John Saylor Coon Building,"Cherry Street, NW",NULL,NULL,1,
04/02/2011,16:05:00,4/2/2011,17:30:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Chandler Stadium,"Ferst Drive, NW",NULL,NULL,1,
04/02/2011,23:40:00,4/2/2011,23:50:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Cherry Street, NW and North Avenue, NW",NULL,NULL,NULL,1,
04/03/2011,1:27:00,4/3/2011,2:00:00,Liquor – Possession Of,NULL,ONCAM,Z2,Peters Parking Deck,"Fowler Street, NW",NULL,NULL,1,
04/03/2011,2:14:00,NULL,NULL,Miscellaneous Offenses,Prosecution Declined,ONCAM,Z2,Rich Building,"Fourth Street, NW",NULL,NULL,1,
04/03/2011,4:00:00,4/3/2011,4:20:00,Miscellaneous Offenses,Cleared by Arrest,ONCAM,Z4,"Tech Parkway, NW @ State Street, NW",NULL,NULL,NULL,1,
04/03/2011,4:08:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,Brittain Laundry Room,"Techwood Drive, NW",NULL,NULL,1,
04/03/2011,8:55:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,College of Management,"West Peachtree Street, NW",NULL,NULL,1,
04/03/2011,13:08:00,4/3/2011,13:29:00,Obstructing Officer/Criminal Investigation,Cleared by Arrest,NONCAM,Z1,NULL,"Fourteenth Street, NW",NULL,NULL,1,
03/28/2011,6:00:00,4/3/2011,16:45:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z4,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
04/03/2011,19:43:00,4/3/2011,19:45:00,Miscellaneous Offenses,NULL,ONCAM,Z4,"McMillan Street, NW @ Ninth Street, NW",NULL,NULL,NULL,1,
04/04/2011,0:23:00,4/4/2011,0:23:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,"Tech Parkway, NW and  Northside Drive, NW",NULL,NULL,NULL,1,
04/04/2011,8:00:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Hanson Residence Hall,"Bobby Dodd Way, NW",NULL,NULL,1,
04/04/2011,9:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,Global Learning Center,"Fifth Street, NW",NULL,NULL,1,
04/04/2011,1:00:00,4/4/2011,13:00:00,Damage to Property – Private,NULL,ONCAM,Z2,Phi Kappa Tau Fraternity,"Fourth Street, NW",NULL,NULL,1,
02/08/2011,14:00:00,4/4/2011,14:09:00,Larceny – From Building,NULL,ONCAM,Z1,GCATT,"Fourteenth Street, NW",NULL,NULL,1,
04/04/2011,18:01:00,NULL,NULL,False Fire Alarm,NULL,ONCAM,Z3,Love Manufacturing Building,"Ferst Drive, NW",NULL,NULL,1,
04/04/2011,18:15:00,NULL,NULL,False Fire Alarm,NULL,ONCAM,Z3,Howey Physics Building,Atlantic Drive NW,NULL,NULL,1,
04/04/2011,19:57:00,4/4/2011,20:00:00,Larceny – Articles from Vehicle,Cleared by Arrest,PUB,Z2,Suntrust Bank Parking Lot,"West Peachtree Street, NW",NULL,NULL,1,
04/04/2011,19:45:00,4/4/2011,20:29:00,Larceny – From Building,NULL,ONCAM,Z2,Library,"Cherry Streeet, NW",NULL,NULL,1,
04/04/2011,21:20:00,4/4/2011,21:37:00,Miscellaneous Offenses,NULL,NONCAM,NULL,NULL,"McAfee Street, Nw",NULL,NULL,1,
04/04/2011,23:51:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Woodruff Residence Hall   116   Z4,Curran Street NW,NULL,NULL,1,
04/04/2011,23:42:00,NULL,NULL,Damage to Property Offense Free Text,NULL,ONCAMRES,Z1,Familly Apartments,"Tenth Street, NW",NULL,NULL,1,
04/05/2011,0:01:00,4/5/2011,7:00:00,Damage to Property Offense Free Text,NULL,ONCAM,Z1,Landscaping Services,"Atlantic Drive, NW",NULL,NULL,1,
04/05/2011,10:15:00,4/5/2011,15:30:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z3,Clydeck,"Ferst Drive, NW",NULL,NULL,1,
04/05/2011,15:00:00,4/5/2011,16:30:00,Criminal Trespass,NULL,ONCAM,Z2," Love Building, (MRDC 2)",NULL,NULL,NULL,1,
04/05/2011,21:38:00,4/5/2011,22:08:00,Criminal Trespass,NULL,ONCAMRES,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
04/05/2011,22:38:00,4/6/2011,23:21:00,Miscellaneous Offenses,Cleared by Arrest,NONCAM,OFFCAM,"Mcafee Street, NW at Mills Street, NW",NULL,NULL,NULL,1,
04/05/2011,23:00:00,4/5/2011,23:30:00,Larceny – From Building,Unfounded,ONCAM,Z1,O'Keefe Building,"Sixth Street , NW",NULL,NULL,1,
04/06/2011,5:23:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z1,Center for Assistive Technology and Environmental Access,Tenth Street NW,NULL,NULL,1,
04/01/2011,16:30:00,4/5/2011,10:00:00,Criminal Trespass,NULL,ONCAMRES,Z4,Maulding Residence Hall,"Sixth Street, NW",NULL,NULL,1,
04/05/2011,10:30:00,4/6/2011,7:58:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z4,Curran Street Parking Deck,"Curran Street, NW",NULL,NULL,1,
04/06/2011,12:01:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z4,Student Health Center,"Ferst Drive, NW",NULL,NULL,1,
04/06/2011,15:15:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,ONCAM,Z2,Library,"Cherry Street, NW",NULL,NULL,1,
04/06/2011,9:30:00,4/6/2011,16:20:00,Damage to Property – Private,NULL,ONCAM,Z1,"Fowler Street, NW @ Ferst Drive, NW",NULL,NULL,NULL,1,
04/06/2011,21:16:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Williams Street, NW",NULL,NULL,NULL,1,
04/06/2011,9:00:00,4/6/2011,12:00:00,Damage to Property – Private,NULL,ONCAM,Z1,Alexander Memorial Coliseum,"Fowler Street, NW",NULL,NULL,1,
04/07/2011,14:15:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Spring Street, NW",NULL,NULL,NULL,1,
04/06/2011,16:00:00,4/7/2011,15:10:00,Damage to Property Offense Free Text,NULL,ONCAM,Z2,Montgomery-Knight Building  (SST II),"Ferst Drive, NW",NULL,NULL,1,
04/07/2011,14:00:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z1,O'Keefe Building,"Sixth Street, NW",NULL,NULL,1,
04/07/2011,16:50:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z4,Student Health Center,"Ferst Drive, NW",NULL,NULL,1,
04/07/2011,18:30:00,4/7/2011,18:35:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Eighth Street Apartments,"Eighth Street, NW",NULL,NULL,1,
04/07/2011,19:05:00,4/7/2011,19:05:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Smith Residence Hall,"Williams Street, NW",NULL,NULL,1,
04/07/2011,21:00:00,4/7/2011,21:00:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,"Means Street, NW and Marietta Street, NW",NULL,NULL,NULL,1,
04/07/2011,21:09:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,"Northside Drive, NW @ Tenth Street, NW",NULL,NULL,NULL,1,
04/08/2011,0:00:00,NULL,NULL,Criminal Trespass,Prosecution Declined,ONCAM,Z2,Peters Parking Deck,"Fowler Street, NW",NULL,NULL,1,
04/08/2011,2:25:00,4/8/2011,2:45:00,Miscellaneous Offenses,NULL,ONCAM,Z3,Love Manufacturing Building,"Ferst Drive, NW",NULL,NULL,1,
04/08/2011,3:10:00,4/8/2011,3:10:00,Miscellaneous Offenses,NULL,ONCAM,Z2,Sigma Chi Fraternity,"Techwood Drive, NW",NULL,NULL,1,
04/08/2011,3:30:00,4/8/2011,3:30:00,Miscellaneous Offenses,Cleared by Arrest,NONCAM,OFFCAM,"Spring Street, NW @ Ponce De Leon, NW",NULL,NULL,NULL,1,
04/08/2011,4:39:00,NULL,NULL,Indecent Exposure,Prosecution Declined,ONCAM,Z3,Ferst Center for the Arts,"Ferst Drive, NW",NULL,NULL,1,
04/07/2011,16:30:00,4/8/2011,8:00:00,Criminal Trespass,NULL,ONCAMRES,Z4,Eighth Street Apartments South Building,"Eighth Street, NW",NULL,NULL,1,
04/08/2011,8:27:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Armstrong Residence Hall,"Eigth Street, NW",NULL,NULL,1,
04/08/2011,7:50:00,4/8/2011,10:07:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z2,Technology Square Parking Deck,"Spring Street, NW",NULL,NULL,1,
04/08/2011,9:00:00,4/8/2011,9:55:00,Larceny – From Building,NULL,ONCAM,Z2,Collage of Managment,"Fifth Street, NW",NULL,NULL,1,
04/08/2011,18:30:00,4/8/2011,21:30:00,Larceny – From Building,NULL,ONCAM,Z1,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
04/09/2011,2:19:00,4/9/2011,2:34:00,Liquor – Possession Of,Prosecution Declined,ONCAM,Z2,Field Residence Hall,"Techwood Drive, NW",NULL,NULL,1,
04/08/2011,22:30:00,4/9/2011,11:30:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z2,Perry/Matheson Lot,"Techwood Drive, NW",NULL,NULL,1,
04/09/2011,11:00:00,4/9/2011,13:00:00,Larceny – From Building,NULL,ONCAM,Z3,Student Center,"Ferst Drive, NW",NULL,NULL,1,
04/09/2011,22:44:00,NULL,NULL,Criminal Trespass,NULL,ONCAMRES,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
04/10/2011,3:59:00,4/10/2011,4:25:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Ferst Center for the Arts,"Ferst Drive, NW",NULL,NULL,1,
04/10/2011,4:00:00,4/10/2011,4:30:00,Driving Under the Influence of Alcohol,Cleared by Arrest,PUB,Z3,"Tenth Street, NW @ State Street, NW",NULL,NULL,NULL,1,
04/08/2011,17:00:00,4/10/2011,8:30:00,Criminal Trespass,NULL,ONCAM,Z2,Edge Building,Bobby Dodd Way,NULL,NULL,1,
04/10/2011,11:39:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z1,"Tenth Street, NW @ Atlantic Drive, NW",NULL,NULL,NULL,1,
04/10/2011,14:30:00,NULL,NULL,Damage to Property – Private,NULL,PUB,Z1,Chandler Stadium,"Ferst Drive, NW",NULL,NULL,1,
